year,quarter,county,sales,month,date
2010,1,Boulder,114599000,01,2010-01-01
2010,1,Broomfield,26093000,01,2010-01-01
2010,1,Denver,173248000,01,2010-01-01
2010,1,Douglas,64458000,01,2010-01-01
2010,1,El Paso,263662000,01,2010-01-01
2010,1,Fremont,7131000,01,2010-01-01
2010,1,Garfield,33238000,01,2010-01-01
2010,1,Jefferson,189394000,01,2010-01-01
2010,1,La Plata,14969000,01,2010-01-01
2010,1,Larimer,113568000,01,2010-01-01
2010,1,Mesa,59703000,01,2010-01-01
2010,1,Pueblo,57222000,01,2010-01-01
2010,1,Rest of State,99930000,01,2010-01-01
2010,1,Weld,100290000,01,2010-01-01
2010,2,Adams,186061000,04,2010-04-01
2010,2,Arapahoe,473095000,04,2010-04-01
2010,2,Boulder,122586000,04,2010-04-01
2010,2,Broomfield,31190000,04,2010-04-01
2010,2,Denver,177831000,04,2010-04-01
2010,2,Douglas,76050000,04,2010-04-01
2010,2,El Paso,298879000,04,2010-04-01
2010,2,Fremont,8805000,04,2010-04-01
2010,2,Garfield,38899000,04,2010-04-01
2010,2,Jefferson,205826000,04,2010-04-01
2010,2,La Plata,19055000,04,2010-04-01
2010,2,Larimer,128564000,04,2010-04-01
2010,2,Mesa,63419000,04,2010-04-01
2010,2,Pueblo,62284000,04,2010-04-01
2010,2,Rest of State,109550000,04,2010-04-01
2010,2,Weld,109448000,04,2010-04-01
2010,3,Adams,209599000,07,2010-07-01
2010,3,Arapahoe,533267000,07,2010-07-01
2010,3,Boulder,138918000,07,2010-07-01
2010,3,Broomfield,31291000,07,2010-07-01
2010,3,Denver,194231000,07,2010-07-01
2010,3,Douglas,71558000,07,2010-07-01
2010,3,El Paso,325653000,07,2010-07-01
2010,3,Fremont,9879000,07,2010-07-01
2010,3,Garfield,37634000,07,2010-07-01
2010,3,Jefferson,228001000,07,2010-07-01
2010,3,La Plata,19444000,07,2010-07-01
2010,3,Larimer,138622000,07,2010-07-01
2010,3,Mesa,69293000,07,2010-07-01
2010,3,Pueblo,66162000,07,2010-07-01
2010,3,Rest of State,113584000,07,2010-07-01
2010,3,Weld,124095000,07,2010-07-01
2010,4,Adams,204953000,10,2010-10-01
2010,4,Arapahoe,507461000,10,2010-10-01
2010,4,Boulder,139359000,10,2010-10-01
2010,4,Broomfield,31475000,10,2010-10-01
2010,4,Denver,185413000,10,2010-10-01
2010,4,Douglas,74958000,10,2010-10-01
2010,4,El Paso,302807000,10,2010-10-01
2010,4,Fremont,8884000,10,2010-10-01
2010,4,Garfield,41261000,10,2010-10-01
2010,4,Jefferson,221631000,10,2010-10-01
2010,4,La Plata,18571000,10,2010-10-01
2010,4,Larimer,134169000,10,2010-10-01
2010,4,Mesa,63590000,10,2010-10-01
2010,4,Pueblo,57896000,10,2010-10-01
2010,4,Rest of State,113729000,10,2010-10-01
2010,4,Weld,122579000,10,2010-10-01
2011,1,Adams,331909000,01,2011-01-01
2011,1,Arapahoe,579448000,01,2011-01-01
2011,1,Boulder,160967000,01,2011-01-01
2011,1,Broomfield,34361000,01,2011-01-01
2011,1,Denver,275731000,01,2011-01-01
2011,1,Douglas,105475000,01,2011-01-01
2011,1,El Paso,391992000,01,2011-01-01
2011,1,Fremont,10808000,01,2011-01-01
2011,1,Garfield,42849000,01,2011-01-01
2011,1,Jefferson,274646000,01,2011-01-01
2011,1,La Plata,26433000,01,2011-01-01
2011,1,Larimer,166547000,01,2011-01-01
